en	kr
Development of a Hand-posture Recognition System Using 3D Hand Model	3차원 손 모델을 이용한 비전 기반 손 모양 인식기의 개발
Privacy-Preserving Finance Data Analysis Based on Homomorphic Encryption	개인정보가 보호되는 동형암호기반 금융데이터분석
For example, the forecasting model X optimized with dataset A would not produce the optimized result with another dataset B.	예를 들면, 데이터셋 A에 최적화된 예측 모델 X를 다른 특성을 가진 데이터셋 B에 적용하면 데이터셋 A와 같이 좋은 예측 결과를 기대하기 어렵다.
The multivariate ARIMA and LSTM models, which use both groundwater level data of autoregressive properties and nearby rainfall data as input variables, are evaluated to be more accurate than the MLP model.	자기회귀 특성의 지하수위와 인근의 강우 자료가 입력변수로 사용되는다변량 ARIMA 및 LSTM 모델이 MLP 모델에 비하여 정확한 것으로 평가되었다.
The techniques proposed in this study enable network operators and OTT operators to more accurately classify OTT users, enabling them to set customized plans, invest in efficient infrastructure and discover competitive content.	본 연구에서 제안하는 기법을 통해 사업자는 OTT 사용자를 분석함으로써 맞춤형 요금제 책정, 효율적인 인프라 투자, 경쟁력 있는 콘텐츠 발굴 등이 가능하다.
However, it suffers from computational cost, battery drain, and storage space issues for such continuous processing.	하지만, 이러한 지속적인 처리에 드는 계산 비용과 배터리 소모 및 저장 공간 문제로 어려움을 겪고 있다.
Classification of Radar Signals Using Machine Learning Techniques	기계학습 방법을 이용한 레이더 신호 분류
Performance evaluation on short term load forecasting(STLF) with different time-resolutions using machine learning algorithm for buildings	Time resolution별 기계학습 기반 단기건물부하예측 성능평가
Development of Deep CNN-based Face Recognition System	Deep CNN 기반의 얼굴인식 시스템 개발
Identifying Compound Risk Factors of Disease by Evolutionary Learning of SNP Combinatorial Features	SNP 조합 인자들의 진화적 학습 방법 기반 질병 관련 복합적 위험요인 추출
A Study on the Individual Recognition with Skull Image Composition	두개골 영상합성에 의한 개인감정시스템 연구-II
A Study on the Recognition system Design of Printed Music Score - Low Level	인쇄악보 인식시스템의 설계에 관한 연구 - Low Level
LSTM (Long Short-Term Memory) algorithm which is a kind of recurrent neural network was used to establish a model to predict the stress-strain curve of an material under uniaxial compression.	이 논문에서는 재료의 단축하중 하에서의 응력-변형률 곡선을 예측하기 위하여 순환 신경망의 일종인 LSTM(Long Short-Term Memory) 알고리즘을 사용하였다.
A Study on Control Strategy in Computer Vision System	컴퓨터 시각시스템에 있어서 제어전략에 관한 연구
Marker-Free Motion Capture System	마커프리 모션캡처 시스템
Efficient Path Planning Approach Using CNN Image Processing and Artificial Potential Field Method	CNN 기반 이미지처리와 인공전위계 방법을 이용한 효율적인 경로계획 방법
Sparse Representation Learning of Kernel Space Using the Kernel Relaxation Procedure	커널 이완 절차에 의한 커널 공간의 저밀도 표현 학습
In the process, humans have extended beyond their corporealboundaries .	이는 그 자체로 인간의 확장이다.
Evaluation of Visual Performance according to Multifocal Contact Lens Prescription Methods in Presbyopia	노안에서 멀티포컬 콘택트렌즈 처방법에 따른 시기능 평가
The experimental results of this study show that performance varies depending on the network algorithm used.	본 연구의 실험 결과는 사용하는 네트워크 알고리즘에 따라 수행도에 차이가 있음을 보여준다.
Then, objects with different shapes from normal taste buds are detected using an adaptive thresholding technique in the image.	그리고 난 후, 영상에 adaptive thresholding 기법을 사용해 정상적인 맛봉오리와 형태가 다른 객체들을 검출한다.
Trend of Cyber Security using Machine Learning Technology	머신러닝기술을 활용한 사이버보안의 동향
Brain CT Image Segmentation by Machine Learning	기계학습을 이용한 뇌 CT 영상의 영역화
Investigating Predictors of the Longitudinal Type of Academic Performance during the Lower Grades of Elementary School Using Latent Class Growth Analysis and Machine Learning	잠재계층성장분석과 머신러닝에 의한 초등학교 저학년 학업수행능력의 종단 유형 예측
In this paper, we propose a new method based on recurrent neural network(RNN) using word2vec to overcome the limitations of previous related work and to get much higher accuracy of document classification.	본 논문은 기존 연구의 한계점을 극복하고 더 정확한 문서 분류 성능을 위하여 word2vec를 활용한 recurrent neural network (RNN)기반의 방법을 새롭게 제안한다.
Empirical Analysis of Missing Value Processing for PM<SUB>10</SUB> Prediction	PM<SUB>10</SUB> 농도 예측을 위한 머신러닝 기반 결측치 처리의 실증적 분석
Modbus TCP based Solar Power Plant Monitoring System using Raspberry Pi	라즈베리파이를 이용한 Modbus TCP 기반 태양광 발전소 모니터링 시스템
An Analysis of Artificial Intelligence Algorithms Applied to Rock  Engineering	암반공학분야에 적용된 인공지능 알고리즘 분석
